ref	txt
BABA METZIA_chapter_7_7	"He used to say: Despise no man and deem nothing impossible, for there is not a man that has not his hour and there is not a thing that has not its place."
BABA METZIA_chapter_7_8	"Levitas of Jabneh said: Be exceeding lowly of spirit, for the hope of man is but the worm. R. Johanan b. Baroka said: He that profanes the name of Heaven in secret shall be requited openly: in profaning the Name it is all one whether it be done unwittingly or wantonly."
BABA METZIA_chapter_7_9	"R. Ishmael his son said: He that learns in order to teach is granted the means to learn and to teach; but he that learns in order to perform is granted the means to learn and to teach, to observe and to perform. R. Zadok says: Keep not aloof from the congregation, and make not thyself like them that seek to influence the judges. Make them not a crown wherewith to magnify thyself or a spade wherewith to dig. And thus used Hillel to say: He that makes wordly use of the crown shall perish. Thus thou mayest learn that he that makes profit out of the words of the Law removes his life from the world."
BABA METZIA_chapter_8_0	R. Jose said: He that honours the Law is himself honoured by man kind; and he that dishonours the Law shall himself be dishonoured by mankind.
BABA METZIA_chapter_8_1	"R. Ishmael his son said: He that shuns the office of judge rids himself of enmity and theft and false swearing; and he that is forward in giving a decision is foolish, wicked, and arrogant."
BABA METZIA_chapter_8_2	"He used to say: Judge not alone, for none may judge alone save One. And say not, Receive ye my opinion, for it is for them to choose and not for thee."
BABA METZIA_chapter_8_3	R. Jonathan said: He that fulfils the Law in poverty shall in the end fulfil it in wealth; and he that neglects the Law in wealth shall in the end neglect it in poverty.
BABA METZIA_chapter_8_4	R. Meir said: Engage not overmuch in business but occupy thyself with the Law; and be lowly in spirit before all men. If thou neglectest the Law many things neglected shall rise against thee; but if thou labourest in the Law He has abundant reward to give thee.
BABA METZIA_chapter_8_5	"R. Eliezer b. Jacob says: He that performs one precept gets for himself one advocate; but he that commits one transgression gets for himself one accuser. Repentance and good works are as a shield against retribution. R. Johanan the Sandal-maker said: Any assembling together that is for the sake of Heaven shall in the end be established, but any that is not for the sake of Heaven shall not in the end be established."
BABA METZIA_chapter_8_6	"R. Eleazar b. Shammua said: Let the honour of thy disciple be as dear to thee as thine own and as the honour of thy companion, and the honour of thy companion as the fear of thy teacher, and the fear of thy teacher as the fear of Heaven."
BABA METZIA_chapter_8_7	"R. Judah said: Be heedful in study, for an unwitting error in study is accounted wanton transgression. R. Simeon said: There are three crowns—the crown of the Law, the crown of the priesthood, and the crown of kingship; but the crown of a good name excels them all."
BABA METZIA_chapter_8_8	R. Nehorai said: Wander afar to a place of the Law; and say not that it will follow after thee or that thy companions will establish it in thy possession; and lean not upon thine own understanding.
BABA METZIA_chapter_8_9	R. Yannai said: It is not in our power to explain the well-being of the wicked or the sorrows of the righteous. R. Mattithiah b. Heresh said: Be first in greeting every man; and be a tail to lions and be not a head to jackals.
BABA METZIA_chapter_9_0	R. Jacob said: This world is like a vestibule before the world to come: prepare thyself in the vestibule that thou mayest enter into the banqueting hall.
BABA METZIA_chapter_9_1	He used to say: Better is one hour of repentance and good works in this world than the whole life of the world to come; and better is one hour of bliss in the world to come than the whole life of this world.
BABA METZIA_chapter_9_2	"R. Simeon b. Eleazar said: Appease not thy fellow in the hour of his anger, and comfort him not while his dead lies before him, and question him not in the hour of his vow, and strive not to see him in the hour of his disgrace."
BABA METZIA_chapter_9_3	"Samuel the Younger said: Rejoice not when thine enemy falleth, and let not thine heart be glad when he is overthrown, lest the Lord see it and it displease him, and he turn away his wrath from him."
BABA METZIA_chapter_9_4	"Elisha b. Abuyah said: He that learns as a child, to what is he like? To ink written on new paper. He that learns as an old man, to what is he like? To ink written on paper that has been blotted out. R. Jose b. Judah of Kefar ha-Babli said: He that learns from the young, to what is he like? To one that eats unripe grapes and drinks wine from his winepress. And he that learns from the aged, to what is he like? To one that eats ripe grapes and drinks old wine. Rabbi said: Look not on the jar but on what is in it; there may be a new jar that is full of old wine and an old one in which is not even new wine."
BABA METZIA_chapter_9_5	"R. Eleazar ha-Kappar said: Jealousy, lust, and ambition put a man out of the world."
BABA METZIA_chapter_9_6	"He used to say: They that have been born [are destined] to die, and they that are dead [are destined] to be made alive, and they that live [after death are destined] to be judged, that men may know and make known and understand that he is God, he is the Maker, he is the Creator, he is the Discerner, he is the Judge, he is the Witness, he is the Complainant, and it is he that shall judge, blessed is he, in whose presence is neither guile nor forgetfulness nor respect of persons nor taking of bribes; for all is his. And know that everything is according to the reckoning. And let not thy [evil] nature promise thee that the grave will be thy refuge: for despite thyself wast thou fashioned, and despite thyself wast thou born, and despite thyself thou livest, and despite thyself thou livest, and despite thyself shalt thou hereafter give account and reckoning before the King of kings of kings, the Holy One, blessed is he."
BABA METZIA_chapter_9_7	"By ten Sayings was the world created. And what does the Scripture teach thereby? Could it not have been created by one Saying? But this was to requite the ungodly which destroy the world that was created by ten Sayings, and to give a goodly reward to the righteous which sustain the world that was created by ten Sayings."
BABA METZIA_chapter_9_8	"There were ten generations from Adam to Noah, to show how great was his longsuffering, for all the generations provoked him continually until he brought upon them the waters of the Flood. There were ten generations from Noah to Abraham, to show how great was his long-suffering, for all the generations provoked him continually until Abraham our father came and received the reward of them all."
BABA METZIA_chapter_9_9	"With ten temptations was Abraham our father tempted, and he stood steadfast in them all, to show how great was the love of Abraham our father."
BABA METZIA_chapter_10_0	"Ten wonders were wrought for our fathers in Egypt and ten at the Sea. Ten plagues did the Holy One, blessed is he, bring upon the Egyptians in Egypt and at the Sea. With ten temptations did our fathers tempt the Holy One, blessed is he, in the wilderness, as it is written, Yet have they tempted me these ten times and have not hearkened to my voice."
BABA METZIA_chapter_10_1	"Ten wonders were wrought for our fathers in the Temple: no woman miscarried through the smell of the flesh of the Hallowed Things; and no flesh of the Hallowed Things ever turned putrid; and no fly was seen in the shambles; and the High Priest never suffered a pollution on the Day of Atonement; and the rains never quenched the fire of the wood-pile [on the Altar]; and no wind prevailed over the pillar of smoke; and never was a defect found in the Omer or in the Two Loaves or in the Shewbread; [and the people] stood pressed together yet bowed themselves at ease; and never did serpent or scorpion do harm in Jerusalem; and no man said to his fellow, The place is too strait for me that I should lodge in Jerusalem."
BABA METZIA_chapter_10_2	"Ten things were created on the eve of Sabbath between the suns at nightfall: the mouth of the earth, the mouth of the well, the mouth of the she-ass, the rainbow, and the manna and the rod and the Shamir, the letters and the writing and the Tables [of stone]. Some say also: The evil spirits and the sepulchre of Moses and the ram of Abraham our father. Some say also: The tongs made with tongs."
BABA METZIA_chapter_10_3	"There are seven marks of the clod and seven of the wise man. The wise man does not speak before one that is greater than he in wisdom; and he does not break in upon the words of his fellow; and he is not hasty in making answer; he asks what is relevant and makes answer according to the Halakah; and he speaks on the first point first and on the last point last; and of what he has heard no tradition he says, I have not heard; and he agrees to what is true. And the opposites of these are the marks of the clod."
BABA METZIA_chapter_10_4	"Seven kinds of retribution come upon the world for seven classes of transgression. If some give tithe and some do not give tithe, there comes famine from drought: some suffer hunger while some have enough. If [all] resolved that they would not give tithe there comes famine from tumult and drought. And if they will not set apart Dough-offering there comes an all-consuming famine. Pestilence comes upon the world because of crimes deserving of the death-penalties enjoined in the Law that are not brought before the court; and because of [the transgressions of the laws of] the Seventh Year produce. The sword comes upon the world because of the delaying of justice and the perverting of justice; and because of them that teach the Law not according to the Halakah."
BABA METZIA_chapter_10_5	"Noisome beasts come upon the world because of false swearing and the profaning of the Name. Exile comes upon the world because of idolatry and incest and the shedding of blood; and because of [neglect of the year of] the Release of the land. At four periods pestilence increases: in the fourth year and in the seventh year and in the year after the seventh year, and at the end of the Feast [of Tabernacles] every year. In the fourth year—because of [neglect of] Poormans Tithe in the third year; in the seventh year—because of [neglect of] Poormans Tithe in the sixth year; in the year after the seventh year—because of [transgressing the laws of] Seventh Year produce; and at the end of the Feast of [Tabernacles] every year—because of wrongfully withholding the dues of the poor."
BABA METZIA_chapter_10_6	"There are four types among men: he that says, What is mine is mine and what is thine is thine—this is the common type, and some say that this is the type of Sodom; [he that says,] What is mine is thine and what is thine is mine—he is an ignorant man; [he that says,] What is mine is thine and what is thine is thine own—he is a saintly man; [and he that says,] What is thine is mine, and what is mine is mine own—he is a wicked man."
BABA METZIA_chapter_10_7	There are four types of character: easy to provoke and easy to appease—his loss is cancelled by his gain; hard to provoke and hard to appease—his gain is cancelled by his loss; hard to provoke and easy to appease—he is a saintly man; easy to provoke and hard to appease—he is a wicked man.
BABA METZIA_chapter_10_8	There are four types of disciple: swift to hear and swift to lose—his gain is cancelled by his loss; slow to hear and slow to lose—his loss is cancelled by his gain; swift to hear and slow to lose—this is a happy lot; slow to hear and swift to lose—this is an evil lot.
BABA METZIA_chapter_10_9	There are four types of almsgivers: he that is minded to give but not that others should give—he begrudges what belongs to others; he that is minded that others should give but not that he should give—he begrudges what belongs to himself; he that is minded to give and also that others should give—he is a saintly man; he that is minded not to give himself and that others should not give—he is a wicked man.
BABA METZIA_chapter_10_10	There are four types among them that frequent the House of Study: he that goes and does not practise—he has the reward of his going; he that practises but does not go—he has the reward of his practising; he that goes and also practises—he is a saintly man; he that neither goes nor practises—he is a wicked man.
BABA BATHRA_chapter_1_0	"There are four types among them that sit in the presence of the Sages: the sponge, the funnel, the strainer, and the sifter. The sponge—which soaks up everything; the funnel—which takes in at this end and lets out at the other; the strainer—which lets out the wine and collects the lees; the sifter—which extracts the coarsely-ground flour and collects the fine flour."
BABA BATHRA_chapter_1_1	"If love depends on some [transitory]thing, and the [transitory] thing passes away, the love passes away too; but if it does not depend on some [transitory] thing it will never pass away. Which love depended on some [transitory] thing? This was the love of Amnon and Tamar. And which did not depend on some [transitory] thing? This was the love of David and Jonathan."
BABA BATHRA_chapter_1_2	"Any controversy that is for Gods sake shall in the end be of lasting worth, but any that is not for Gods sake shall not in the end be of lasting worth. Which controversy was for Gods sake? Such was the controversy of Hillel and Shammai. And which was not for Gods sake? Such was the controversy of Korah and all his company."
BABA BATHRA_chapter_1_3	"He that leads the many to virtue, through him shall no sin befall; but he that leads the many to sin, to him shall be given no means for repentance. Moses was virtuous and he led the many to virtue; the virtue of the many depended on him, as it is written, He executed the justice of the Lord and his judgements with Israel. Jeroboam sinned and he led the many to sin; the sin of the many depended on him, as it is written, For the sins of Jeroboam which he sinned and wherewith he made Israel to sin."
BABA BATHRA_chapter_1_4	"He in whom are these three things is of the disciples of Abraham our father; but [he in whom are] three other things is of the disciples of Balaam the wicked. A good eye and a humble spirit and a lowly soul—[they in whom are these] are of the disciples of Abraham our father. An evil eye, a haughty spirit, and a proud soul—[they in whom are these] are of the disciples of Balaam the wicked. How do the disciples of Abraham our father differ from the disciples of Balaam the wicked? The disciples of Abraham our father enjoy this world and inherit the world to come, as it is written, That I may cause those that love me to inherit substance and that I may fill their treasuries. The disciples of Balaam the wicked inherit Gehenna and go down to the pit of destruction, as it is written, But thou, O God, shalt bring them down into the pit of destruction; bloodthirsty and deceitful men shall not live out half their days."
BABA BATHRA_chapter_1_5	"Judah b. Tema said: Be strong as the leopard and swift as the eagle, fleet as the gazelle and brave as the lion to do the will of thy father which is in heaven. He used to say: The shameless are for Gehenna and the shamefast for the garden of Eden. May it be thy will, O Lord our God and the God of our fathers, that the Temple be built speedily in our days, and grant us our portion in thy Law with them that do thy will."
BABA BATHRA_chapter_1_6	"He used to say: At five years old [one is fit] for the Scripture, at ten years for the Mishnah, at thirteen for [the fulfilling of] the commandments, at fifteen for the Talmud, at eighteen for the bride-chamber, at twenty for pursuing [a calling], at thirty for authority, at forty for discernment, at fifty for counsel, at sixty for to be an elder, at seventy for grey hairs, at eighty for special strength, at ninety for bowed back, and at a hundred a man is as one that has [already] died and passed away and ceased from the world."
BABA BATHRA_chapter_1_7	Ben Bag-Bag said: Turn it and turn it again for everything is in it; and contemplate it and grow grey and old over it and stir not from it for than it thou canst have no better rule.
BABA BATHRA_chapter_1_8	Ben He-He said: According to the suffering so is the reward.
BABA BATHRA_chapter_1_9	KINYAN TORAH: [These things] have the Sages taught in the language of the Mishnah. Blessed is he that made choice of them and their Mishnah!
BABA BATHRA_chapter_2_0	"Rabbi Meir said: He that occupies himself in the study of the Law for its own sake merits many things, and, still more, he is deserving of the whole world. He is called friend, beloved [of God], lover of God, lover of mankind; and it clothes him with humility and reverence and fits him to become righteous, saintly, upright, and faithful; and it keeps him far from sin and brings him near to virtue, and from him men enjoy counsel and sound knowledge, understanding and might, for it is written, Counsel is mine and sound knowledge, I am understanding, I have might. And it gives him kingship and dominion and discernment in judgement; to him are revealed the secrets of the Law, and he is made like to a never-failing spring and like to a river that flows ever more mightily; and he becomes modest, longsuffering, and forgiving of insult; and it magnifies him and exalts him above all things."
BABA BATHRA_chapter_2_1	"R. Joshua b. Levi said: Every day a divine voice goes forth from mount Horeb, proclaiming and saying, Woe to mankind for their contempt of the Law! For he that occupies himself not in the study of the Law is called reprobate (NaZuF), as it is written, As a golden ring in the snout (Nezem Zahab baF) of a swine, so is a fair woman without discretion. And it is written, And the tables were the work of God, and the writing was the writing of God, graven (haruth) upon the tables. Read not haruth but heruth (freedom), for thou findest no freeman excepting him that occupies himself in the study of the Law; and he that occupies himself in the study of the Law shall be exalted, for it is written, From Mattanah to Nahaliel, and from Nahaliel to Bamoth."
BABA BATHRA_chapter_2_2	"He that learns from his fellow a single chapter or a single Halakah or a single verse or a single expression or even a single letter, must pay him honour, for so we find it with David, king of Israel, who learned only two things from Ahitophel, but called him his teacher, his companion, and his familiar friend; for it is written, But it was thou, a man mine equal, my companion and my familiar friend. And is there not here an inference from the less to the greater?—if David king of Israel, who learned but two things from Ahitophel, called him his teacher, his companion, and his familiar friend, how much more then must he that learns from his fellow a single chapter or a single Halakah or a single verse or a single expression or even a single letter pay him honour! And honour is naught else than the Law, for it is written, The wise shall inherit honour, and The perfect shall inherit good; and good is naught else than the Law, for it is written, For I give you good doctrine; forsake ye not my Law."
BABA BATHRA_chapter_2_3	"This is the way [to get thee knowledge] of the Law. Thou shalt eat bread with salt and thou shalt drink water by measure, and on the ground shalt thou sleep and thou shalt live a life of trouble the while thou toilest in the Law. If thou doest thus, Happy shalt thou be and it shall be well with thee; happy shalt thou be—in this world; and it shall be well with thee—in the world to come."
BABA BATHRA_chapter_2_4	"Seek not greatness for thyself and covet not honour. Practise more than thou learnest; and crave not after the tables of kings, for thy table is greater than their table and thy crown than their crown; and faithful is thy taskmaster who shall pay thee the reward of thy labour."
BABA BATHRA_chapter_2_5	"Greater is [learning in] the Law than priesthood or kingship; for kingship is acquired by thirty excellences and the priesthood by twenty-four; but [learning in] the Law by forty-eight. And these are they: by study, by the hearing of the ear, by the ordering of the lips, by the understanding of the heart, by the discernment of the heart, by awe, by reverence, by humility, by cheerfulness; by attendance on the Sages, by consorting with fellow-students, by close argument with disciples; by assiduity, by [knowledge of] Scripture and Mishnah; by moderation in business, wordly occupation, pleasure, sleep, conversation, and jesting; by longsuffering, by a good heart, by faith in the Sages, by submission to sorrows; [by being] one that recognizes his place and that rejoices in his lot and that makes a fence around his words and that claims no merit for himself; [by being one that is] beloved, that loves God, that loves mankind, that loves well-doing, that loves rectitude, that loves reproof, that shuns honour and boasts not of his learning, and delights not in making decisions; that helps his fellow to bear his yoke, and that judges him favourably, and that establishes him in the truth and establishes him in peace; and that occupies himself assiduously in his study; [by being one] that asks and makes answer, that hearkens and adds thereto; that learns in order to teach and that learns in order to practise; that makes his teacher wiser, that retells exactly what he has heard and reports a thing in the name of him that said it. Lo, thou hast learnt that he that tells a thing in the name of him that said it brings deliverance unto the world, for it is written, And Esther told the king thereof in Mordecais name."
BABA BATHRA_chapter_2_6	"Great is the Law, for it gives life to them that practice it both in this world and in the world to come, as it is written, For they are life unto those that find them, and health to all their flesh; and it says, It shall be health to thy navel and marrow to thy bones; and it says, She is a tree of life to them that lay hold upon her, and happy is everyone that retaineth her; and it says, For they shall be a chaplet of grace unto thine head, and chains about thy neck; and it says, She shall give to thine head a chaplet of grace, a crown of glory shall she deliver to thee; and it says, For by me thy days shall be multiplied and the years of thy life shall be increased; and it says, Length of days is in her right hand; in her left hand are riches and honour; and it says, For length of days, and years of life, and peace, shall they add to thee."
BABA BATHRA_chapter_2_7	"R. Simeon b. Judah in the name of R. Simeon b. Yohai said: Beauty and strength and riches and honour and wisdom and old age and grey hairs and children are comely to the righteous and comely to the world, for it is written, The hoary head is a crown of beauty; it shall be found in the way of righteousness; and it says, The glory of young men is their strength and the beauty of old men is the hoary head; and it says, The crown of the wise is their riches; and it says, Childrens children are the crown of old men; and the glory of children are their fathers; and it says, Then the moon shall be confounded and the sun ashamed; for the Lord of hosts shall reign in mount Zion and in Jerusalem, and before his elders shall be glory. R. Simeon b. Menasya said: These seven qualities which the Sages have reckoned as comely to the righteous were all of them fulfilled in Rabbi and in his sons."
BABA BATHRA_chapter_2_8	"R. Jose b. Kisma said: I was once walking by the way and a man met me and greeted me and I returned his greeting. He said to me, Rabbi, from what place are thou? I answered, I come from a great city of Sages and scribes. He said to me, If thou wilt dwell with us in our place I will give thee a thousand thousand golden denars and precious stones and pearls. I answered, If thou gavest me all the silver and gold and precious stones and pearls in the world I would not dwell save in a place of the Law. And thus it is written in the Book of Psalms by David, king of Israel, The Law of thy mouth is better unto me than thousands of gold and silver. Moreover at the time of a mans departure, neither silver nor gold nor precious stones nor pearls go with him, but only [his knowledge of] the Law and good works; for it is written, When thou awakest, it shall lead thee; when thou sleepest, it shall watch over thee; and when thou awakest it shall talk with thee. When thou walkest it shall lead thee—in this world; when thou sleepest, it shall watch over thee—in the grave; and when thou awakest, it shall talk with thee—in the world to come. And it says, The silver is mine, and the gold is mine, saith the Lord of hosts."
BABA BATHRA_chapter_2_9	"Five possessions did the Holy One, blessed is he, take to Himself in his world; and these are they: the Law is one possession, and the heaven and earth are one possession, Abraham is one possession, Israel is one possession, and the Temple is one possession. Whence [do we learn this of] the Law? Because it is written, The Lord possessed me in the beginning of his way, before his works of old. Whence [do we learn this of] heaven and earth? Because it is written, The heaven is my throne, and the earth is my footstool; what manner of house will ye build unto me and what place shall be my rest? And it says, O Lord, how manifold are thy works! In wisdom hast thou made them all: the earth is full of thy riches. Whence [do we learn this of] Abraham? Because it is written, And he blessed him, and said, Blessed be Abram of God Most High, possessor of heaven and earth. Whence [do we learn this of] Israel? Because it is written, Till thy people pass over, O Lord, till the people pass over which thou hast gotten. And it says, Unto the saints that are in the earth, and the excellent in whom is all my delight. Whence [do we learn this of] the Temple? Because it is written, The place, O Lord, which thou hast made for thee to dwell in; the sanctuary, O Lord, which thy hands have established. And it says, And he brought them to the border of his sanctuary, to this mountain, which his right hand had gotten."
BABA BATHRA_chapter_3_0	"Whatsoever the Holy One, blessed is he, created in his world, he created it only for his glory, as it is written, Everything that is called by my name and that I have created, I have formed it, yea, I have made it. And it says, The Lord shall reign for ever and ever."
BABA BATHRA_chapter_3_1	"Hananiah b. Akashya said: The Holy One, blessed is he, was minded to grant merit to Israel; therefore hath he multiplied for them the Law and commandments, as it is written, It pleased the Lord for his righteousness sake to magnify the Law and make it honourable."
BABA BATHRA_chapter_3_2	"If the court gave a decision contrary to any of the commandments enjoined in the Law and some man went and acted at their word [transgressing] unwittingly, whether they acted so and he acted so together with them, or they acted so and he acted so after them, or whether they did not act so but he acted so, he is not culpable, since he depended on the [decision of the] court. If the court gave a decision [contrary to the Law] and one of them knew that they had erred, or a disciple that was himself fit to give a decision [knew that they had erred], and he went and acted at their word, whether they acted so and he acted so together with them, or they acted so and he acted so after them, or whether they did not act so but he acted so, such a one is culpable, since he did not depend on [the decision of] the court. This is the general rule: he that can depend on himself is culpable, but he that must depend on the court is not culpable."
BABA BATHRA_chapter_3_3	"If a court gave a decision and [afterward] they knew that they had erred, and they retracted, whether they brought their [offering of] atonement or whether they did not bring their [offering of] atonement, if any acted at their word R. Simeon declares him not culpable; and R. Eleazar declares his case in doubt. When is it in doubt? If he had remained at home he would be culpable, but if he went beyond the sea he would not be culpable. R. Akiba said: I agree that such a one is more nearly not culpable than culpable. Ben Azzai said to him: How does he differ from him that remained at home? [R. Akiba answered:] He that remained at home could hear [that the court had retracted], but the other could not hear."
BABA BATHRA_chapter_3_4	"If the court gave a decision uprooting an entire principle [in the Law]: if they said, There is naught in the Law concerning the menstruant, or There is naught in the Law concerning the Sabbath, or There is naught in the Law concerning idolatry, they are not culpable. If they gave a decision that in part annulled and in part sustained [what the Law enjoins], they are culpable. Thus, if they said, The Law treats of the menstruant, but if a man has intercourse with a woman that awaits day against day he is not culpable, or The Law treats of the Sabbath, but if a man carries a burden from a private domain to the public domain he is not culpable, or The Law treats of idolatry, but if a man bows down [before an idol] he is not culpable, the court is culpable; for it is written, If something be hid—something, but not the whole principle."
BABA BATHRA_chapter_3_5	"If the court gave a decision and one of them knew that they had erred and said to them, Ye do err, or if the chief judge of the court was not there, or if one of them was a proselyte or a bastard or a Nathin or too aged [or one] that never had children, they are not culpable; for here it is written Congregation, and there it is written Congregation: as the congregation there implies that they should all be fit to give a decision, so here it is implied that they should all be fit to give a decision. If the court gave a decision [transgressing] unwittingly, and all the congregation [so] acted, [transgressing] unwittingly, they must offer a bullock. If the court gave a decision [transgressing] wantonly and the congregation [so] acted [transgressing] unwittingly, they must offer a sheep and a goat. If the court [transgressed] unwittingly but the congregation wantonly, they are not culpable."
BABA BATHRA_chapter_3_6	"If the court gave a decision [transgressing unwittingly] and all the congregation or the greater part of them acted at their word, they must offer a bullock; and if they had permitted idolatry, they must offer a bullock and a he-goat. So R. Meir. R. Judah says: The twelve tribes offer twelve bullocks; and if there befell idolatry, they must offer twelve bullocks and twelve he-goats. R. Simeon says: [In the first case] thirteen bullocks, and if there befell idolatry, thirteen bullocks and thirteen he-goats: a bullock and a he-goat for each tribe and a bullock and a he-goat for the court. If the court gave a decision [transgressing unwittingly], and seven tribes or the greater part of them acted at their word, they must offer a bullock, and if there befell idolatry, they must bring a bullock and a he-goat. So R. Meir. R. Judah says: The seven tribes which sinned must offer seven bullocks and the rest of the tribes which did not sin must offer a bullock on their behalf, for they also which had not sinned must offer on behalf of them that had sinned. R. Simeon says: Eight bullocks; and if there befell idolatry eight bullocks and eight he-goats—a bullock and a he-goat for each tribe and a bullock and a he-goat for the court. If the court of one of the tribes gave a decision [transgressing unwittingly], and that tribe acted at their word, that tribe is culpable, but the rest of the tribes are not culpable. So R. Judah. But the Sages say: They become culpable only through a decision given by the Great Court, for it is written, And if the whole congregation of Israel shall err—and not the congregation of that tribe alone."
BABA BATHRA_chapter_3_7	"If the anointed [High] Priest made a decision for himself [that transgressed any of the commandments enjoined in the Law], and he made it unwittingly and acted [transgressing] unwittingly, he must offer a bullock; if he made it unwittingly but acted [transgressing] wantonly, or made it wantonly but acted [transgressing] unwittingly, he is exempt; for the decision of an anointed [High] Priest made for himself is like the decision given by the court for the congregation."
BABA BATHRA_chapter_3_8	"If he made the decision alone and acted so alone, he makes his atonement alone. If he made the decision together with the congregation and acted so together with the congregation, he must make atonement together with the congregation. The court becomes liable only if it gives a decision which in part annuls and in part sustains [what the Law enjoins]; so, too, is it with the anointed [High Priest]. And if there befell idolatry [they are] not [liable] unless they annul in part and sustain in part [what the Law enjoins]."
BABA BATHRA_chapter_3_9	"They are liable only if something be hid and thereby an act [of transgression] is performed unwittingly. So, too, is it with the anointed [High Priest]. Also if there befell idolatry they are liable only if something be hid, and thereby an act [of transgression] is performed unwittingly. The court is liable only if it gives a decision that leads to a transgression for which if it is done wantonly the penalty is Extirpation and if unwittingly a Sin-offering. So, too, is it with the anointed [High Priest]. Also if there befell idolatry, they are liable only if they give a decision that leads to a transgression for which if it is done wantonly the penalty is Extirpation and if unwittingly a Sin-offering."
BABA BATHRA_chapter_4_0	"They do not become liable through [a decision unwittingly trans gressing] a negative or a positive command concerning the Temple, nor need they bring a Suspensive Guilt-offering because of a positive or a negative command concerning the Temple. But they become liable through [a decision unwittingly transgressing] a positive or negative command concerning the menstruant, and they must bring a Suspensive Guilt-offering because of a positive or a negative command concerning a menstruant. What is the positive command concerning a menstruant? Separate thyself from a menstruant. And the negative command? Thou shalt not come in unto a menstruant."
BABA BATHRA_chapter_4_1	"They do not become liable through [unwitting transgression of the law touching] him that heareth the voice of adjuration, or him that sweareth rashly with his lips, or uncleanness in what concerns the Temple and its Hallowed Things. So, too, is it with a Ruler. So R. Jose the Galilean. R. Akiba says: The Ruler is liable in each of these cases excepting that of him that heareth the voice of adjuration, because the king can neither judge nor be judged; he cannot act as a witness and others cannot bear witness against him."
BABA BATHRA_chapter_4_2	"[Through unwitting transgression] of the commandments in the Law for which the penalty for wanton transgression is Extirpation and for unwitting transgression a Sin-offering, the individual must offer a sheep or a goat, and the Ruler a he-goat, and the anointed [High Priest] and the court a bullock; and if there befell idolatry, the individual and the Ruler and the anointed [High Priest] must offer a she-goat, and the court must offer a bullock and a he-goat—the bullock as a Whole-offering, and the he-goat as a Sin-offering."
BABA BATHRA_chapter_4_3	"The individual or the Ruler may become liable to a Suspensive Guilt-offering, but not so the anointed [High Priest] or the court. The individual, the Ruler, and the anointed [High Priest] may become liable to an unconditional Guilt-offering, but not so the court. Through [unwitting transgression of the law touching] him that heareth the voice of adjuration, or him that sweareth rashly with his lips, or uncleanness in what concerns the Temple and its Hallowed Things, the court is not liable but the individual, the Ruler, and the anointed [High Priest] are liable; save only that the High Priest is not liable because of uncleanness in what concerns the Temple and its Hallowed Things. So R. Simeon. And what do they offer? A Rising and Falling Offering. R. Eliezer says: The Ruler offers a he-goat."
BABA BATHRA_chapter_4_4	"If the anointed [High] Priest sinned and afterward passed from his high-priesthood; so, too, if the Ruler sinned and afterward passed from his greatness; the anointed [High] Priest must [still] offer a bullock and the Ruler a he-goat."
BABA BATHRA_chapter_4_5	"If the anointed [High] Priest passed from his high-priesthood and then sinned; so, too, if the Ruler passed from his greatness and then sinned; the anointed [High] Priest must [still] offer a bullock, but the Ruler is accounted one of the common people."
BABA BATHRA_chapter_4_6	"If they sinned before they were appointed and were afterward appointed, each is accounted one of the common people. R. Simeon says: If their sin was made known to them before they were appointed, they are liable, but if after they were appointed, they are exempt. And who is the Ruler? This is the king, for it is written, And doeth any one of all the things which the Lord his God hath commanded [not to be done]—a Ruler that has above him none save the Lord his God."
BABA BATHRA_chapter_4_7	"And who is the anointed [High Priest]? He that is anointed with the oil of unction, but not he that is dedicated by the many garments. The [High] Priest anointed with the oil of unction differs from him that is dedicated by the many garments only in the bullock offered for [the un-witting transgression of] any of the commandments. A High Priest in office differs from the priest that is passed [from his high-priesthood] only in the bullock that is offered on the Day of Atonement and the Tenth of the Ephah. Both are equal in the [Temple-]service of the Day of Atonement; and both are subject to the commandment to marry only a virgin, and they both are forbidden to marry a widow, and neither may contract uncleanness because of their near of kin [that have died]; neither may unbind their hair or rend their clothes [in token of mourning]; and both [when they die] serve to bring back the manslayer [from the cities of refuge]."
BABA BATHRA_chapter_4_8	"The High Priest rends his garment from below, but an ordinary priest from above. While his dead lies unburied the High Priest may offer sacrifice, but may not consume it; and an ordinary priest may neither offer sacrifice nor consume it."
BABA BATHRA_chapter_4_9	"Whatsoever is offered more often than another precedes that other; and what is more holy than another precedes that other. If the bullock of the anointed [High Priest] and the bullock of the congregation await sacrifice, the bullock of the anointed [High Priest] precedes the bullock of the congregation in its every act of preparation."
BABA BATHRA_chapter_5_0	"A man must be saved alive sooner than a woman, and his lost property must be restored sooner than hers. A womans nakedness must be covered sooner than a mans, and she must be brought out of captivity sooner than he. When both stand in danger of defilement, the man must be freed before the woman."
BABA BATHRA_chapter_5_1	"A priest precedes a levite, a levite an Israelite, an Israelite a bastard, a bastard a Nathin, a Nathin a proselyte, and a proselyte a freed slave. This applies when they all are [otherwise] equal; but if a bastard is learned in the Law and a High Priest is ignorant of the Law, the bastard that is learned in the Law precedes the High Priest that is ignorant of the Law."
